design,nische,etsy_status,redbubble_status,merch_status,kdp_status,preis_etsy,datum,notiz
kuh-nahaufnahme,Funny Animal / Farmhouse,listing_fertig,listing_fertig,nicht_geeignet,nicht_geeignet,€5.99,2026-06-23,Top-Pick; 4316x5400px; Bestseller-Potential
hafenkraene-sw,Industrial / Urban B&W,listing_fertig,listing_fertig,nicht_geeignet,nicht_geeignet,€7.99,2026-06-23,Top-Pick; 4316x3240px; starke Loft-Nische
autobahn-himmel,Dramatic Sky / Road Trip,listing_fertig,listing_fertig,nicht_geeignet,nicht_geeignet,€6.99,2026-06-23,Top-Pick; 4316x4320px; quadratisches Format
sunset-autospiegel,Road Trip / Lifestyle,listing_fertig,listing_fertig,nicht_geeignet,nicht_geeignet,€5.99,2026-06-23,4316x4320px
schnee-tannen,Winter / Snow Nature,listing_fertig,listing_fertig,nicht_geeignet,nicht_geeignet,€5.99,2026-06-23,4316x4316px
hafen-sonnenuntergang,Harbor / Industrial Sunset,listing_fertig,listing_fertig,nicht_geeignet,nicht_geeignet,€7.99,2026-06-23,4000x4160px
abendhimmel-wolken,Dramatic Sky / Twilight,listing_fertig,listing_fertig,nicht_geeignet,nicht_geeignet,€6.99,2026-06-23,4316x4320px
alpen-holztor,Alpine / Mountain Landscape,listing_fertig,listing_fertig,nicht_geeignet,nicht_geeignet,€6.99,2026-06-23,4316x4316px
u-turm-tag,Urban / Dortmund City Art,listing_fertig,listing_fertig,nicht_geeignet,nicht_geeignet,€6.99,2026-06-23,4316x4308px; Panoramafreiheit DE
u-turm-nacht,Urban Nightscape / Dortmund,listing_fertig,listing_fertig,nicht_geeignet,nicht_geeignet,€7.99,2026-06-23,4316x4320px; Panoramafreiheit DE
foerderturm-sw,Industrial / Ruhr Heritage,listing_fertig,listing_fertig,nicht_geeignet,nicht_geeignet,€7.99,2026-06-23,4316x4300px; B&W starke Nische
sonnenaufgang-teich,Sunrise / Reflection / Nature,listing_fertig,listing_fertig,nicht_geeignet,nicht_geeignet,€5.99,2026-06-23,4316x4320px
antwerpen-nacht,European City / Travel Art,listing_fertig,listing_fertig,nicht_geeignet,nicht_geeignet,€7.99,2026-06-23,4316x3240px; Antwerpen Grote Markt
bahnhof-innen,Architecture / Grand Interior,listing_fertig,listing_fertig,nicht_geeignet,nicht_geeignet,€7.99,2026-06-23,4316x5400px; Antwerp Central Station
strand-muschel,Coastal / Beach / Minimalist,listing_fertig,listing_fertig,nicht_geeignet,nicht_geeignet,€5.99,2026-06-23,4316x4316px
himmel-strasse,Dramatic Sky / Rain / Road,listing_fertig,listing_fertig,nicht_geeignet,nicht_geeignet,€6.99,2026-06-23,4316x5400px; portrait
karma-beach,Beach / PAUSIERT,pausiert,pausiert,nicht_geeignet,nicht_geeignet,pausiert,2026-06-23,WARNUNG: Markenname KARMA BEACH sichtbar – crop oder weglassen
see-wald-spiegelung,Lake / Forest / Reflection,listing_fertig,listing_fertig,nicht_geeignet,nicht_geeignet,€5.99,2026-06-23,4316x2256px; Panoramaformat
kajak-paddel-see,Outdoor / Kayak / Adventure,listing_fertig,listing_fertig,nicht_geeignet,nicht_geeignet,€5.99,2026-06-23,4316x5396px
weizenfeld-wolken,Rural / Farmland Landscape,listing_fertig,listing_fertig,nicht_geeignet,nicht_geeignet,€5.99,2026-06-23,4316x5408px
steinbruch-panorama,Industrial Landscape / Quarry,listing_fertig,listing_fertig,nicht_geeignet,nicht_geeignet,€7.99,2026-06-23,4316x4432px; einzigartige Nische
autobahn-wolke,Minimalist Sky / Road,listing_fertig,listing_fertig,nicht_geeignet,nicht_geeignet,€5.99,2026-06-23,4316x5396px
panorama-hugel,Green Landscape / Panoramic,listing_fertig,listing_fertig,nicht_geeignet,nicht_geeignet,€5.99,2026-06-23,4316x3244px
hafen-kran-blau,Harbor / Industrial / Blue Sky,listing_fertig,listing_fertig,nicht_geeignet,nicht_geeignet,€6.99,2026-06-23,4316x3364px; Farbgegenstück zu SW-Kränen
autobahnbruecke,Architecture / Infrastructure,listing_fertig,listing_fertig,nicht_geeignet,nicht_geeignet,€7.99,2026-06-23,4316x5404px; abstrakt-architektonisch
cefalu-luftbild,Sicily / Italy Travel,listing_fertig,listing_fertig,nicht_geeignet,nicht_geeignet,€8.99,2026-06-23,8064x6048px; Cefalu von La Rocca; File-Upload erhalten
cefalu-strand-panorama,Mediterranean Beach Panorama,listing_fertig,listing_fertig,nicht_geeignet,nicht_geeignet,€7.99,2026-06-23,AUSSTEHEND Bildverarbeitung; Weitpanorama Strand + La Rocca
sizilien-meeressonnenuntergang,Mediterranean Sunset Premium,listing_fertig,listing_fertig,nicht_geeignet,nicht_geeignet,€8.99,2026-06-23,AUSSTEHEND Bildverarbeitung; staerkste Einzelaufnahme der Sammlung
griechische-strassenkatzen,Funny Cats / Greece Street,listing_fertig,listing_fertig,nicht_geeignet,nicht_geeignet,€5.99,2026-06-23,AUSSTEHEND Bildverarbeitung; 2 Katzen auf Auto; Hit-Potenzial
herbsttal-stausee,Autumn Valley / Forest Landscape,listing_fertig,listing_fertig,nicht_geeignet,nicht_geeignet,€7.99,2026-06-23,AUSSTEHEND Bildverarbeitung; Herbsttal mit Stausee von oben
madeira-burgtor-meer,Madeira / Ruin Arch Sea View,listing_fertig,listing_fertig,nicht_geeignet,nicht_geeignet,€7.99,2026-06-23,6120x8160px; rotiert; Bogenfenster zu Atlantik
madeira-felsenkueste-wolken,Madeira / Rocky Atlantic Coast,listing_fertig,listing_fertig,nicht_geeignet,nicht_geeignet,€5.99,2026-06-23,6120x8160px; rotiert; Felsküste + Wolken
madeira-wasserfall-lavapool,Madeira / Waterfall Lava Pool,listing_fertig,listing_fertig,nicht_geeignet,nicht_geeignet,€6.99,2026-06-23,6120x8160px; rotiert; Wasserfall in Lavabecken
madeira-steilkueste-atlantik,Madeira / Dramatic Sea Cliffs,listing_fertig,listing_fertig,nicht_geeignet,nicht_geeignet,€8.99,2026-06-23,8160x6120px; Querformat; Topseller-Kandidat
madeira-kuh-lorbeerwald,Madeira / Fanal Laurel Forest,listing_fertig,listing_fertig,nicht_geeignet,nicht_geeignet,€7.99,2026-06-23,8160x6120px; Kuh im Lorbeerwaldwald Fanal; sehr charakteristisch
madeira-atlantik-felsen,Madeira / Wild Atlantic Shore,listing_fertig,listing_fertig,nicht_geeignet,nicht_geeignet,€5.99,2026-06-23,6120x8160px; rotiert
madeira-dorf-wasserfall,Madeira / Village Waterfall Church,listing_fertig,listing_fertig,nicht_geeignet,nicht_geeignet,€5.99,2026-06-23,6120x8160px; rotiert; Kran im Hintergrund sichtbar
madeira-wasserfall-kliff,Madeira / Cliff Waterfall,listing_fertig,listing_fertig,nicht_geeignet,nicht_geeignet,€6.99,2026-06-23,6120x8160px; rotiert
madeira-bucht-gruene-berge,Madeira / Volcanic Bay Green Mountains,listing_fertig,listing_fertig,nicht_geeignet,nicht_geeignet,€7.99,2026-06-23,8160x6120px; Nordküste Madeira
madeira-topiary-garten,Madeira / Tropical Garden Topiary,listing_fertig,listing_fertig,nicht_geeignet,nicht_geeignet,€5.99,2026-06-23,6120x8160px; rotiert; Botanischer Garten
luchs-portrait,Wildlife / Lynx Portrait,listing_fertig,listing_fertig,nicht_geeignet,nicht_geeignet,€7.99,2026-06-23,7296x5472px; Europaeischer Luchs Nahaufnahme
sardinien-kuste-golden,Sardinia / Golden Hour Coast,listing_fertig,listing_fertig,nicht_geeignet,nicht_geeignet,€6.99,2026-06-23,6528x4896px
mallorca-strand-moewe,Mallorca / Beach Seagull,listing_fertig,listing_fertig,nicht_geeignet,nicht_geeignet,€7.99,2026-06-23,8000x6000px; Strand + Moewe + Berge
sizilien-kuste-luftbild,Sicily / Coastal Town Aerial,listing_fertig,listing_fertig,nicht_geeignet,nicht_geeignet,€7.99,2026-06-23,8064x6048px
sardinien-felsbogen-meer,Sardinia / Rock Arch Drone,listing_fertig,listing_fertig,nicht_geeignet,nicht_geeignet,€8.99,2026-06-23,8000x4500px; Felsbogen ueber tuerkisem Meer; Top-Pick
sizilien-sonnenuntergang-2,Sicily / Mediterranean Sunset 2,listing_fertig,listing_fertig,nicht_geeignet,nicht_geeignet,€7.99,2026-06-23,8000x4500px
sueditalien-strand-palmen,Southern Italy / Beach Palms,listing_fertig,listing_fertig,nicht_geeignet,nicht_geeignet,€5.99,2026-06-23,4080x3060px
holzsteg-lagune,Lagoon Boardwalk / Minimalist,listing_fertig,listing_fertig,nicht_geeignet,nicht_geeignet,€6.99,2026-06-23,4080x3060px; starke fuehrende Linien
sardinien-tuerkise-bucht,Sardinia / Turquoise Cove Panorama,listing_fertig,listing_fertig,nicht_geeignet,nicht_geeignet,€8.99,2026-06-23,8192x3172px Ultrapanorama; Top-Pick
warnung-wolkenkratzer-baustelle,PAUSIERT / Copyright Probleme,pausiert,pausiert,nicht_geeignet,nicht_geeignet,pausiert,2026-06-23,Banner Jutta Benzemberg sichtbar + Personen + Firmenlogos – nicht hochladen
